País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;TOTAL
Gran Total;47850;49780;56153;40068;24395;23704;33747;24557;10937;14017;39095;62033;426336
AMÉRICA DEL NORTE;44929;46868;53181;37283;22820;22745;31476;22751;9960;12776;35332;55706;395827
Canadá;14428;14110;12486;6095;3190;1962;3378;2713;1454;2223;6669;11988;80696
Estados Unidos;30412;32679;40583;31073;19542;20733;27968;19941;8463;10505;28548;43590;314037
México;89;79;112;115;88;50;130;97;43;48;115;128;1094
AMÉRICA CENTRAL;145;122;156;151;152;78;237;114;112;124;103;131;1625
Belice;;;;;1;;;1;1;1;1;;5
El Salvador;46;32;43;65;36;35;90;60;41;32;22;46;548
Guatemala;25;15;76;21;61;14;44;15;29;36;29;25;390
Honduras;7;10;7;9;12;5;32;14;13;16;17;12;154
Nicaragua;38;19;16;21;11;11;23;9;14;12;7;33;214
Panamá;29;46;14;35;31;13;48;15;14;27;27;15;314
AMÉRICA DEL SUR;503;480;339;368;298;213;459;243;211;236;332;344;4026
Argentina;139;91;59;90;50;19;93;38;33;45;34;65;756
Bolivia;2;1;3;1;2;2;1;4;2;;9;4;31
Brasil;172;78;51;77;64;59;101;32;33;48;74;109;898
Chile;81;155;38;66;53;52;117;53;82;62;62;42;863
Colombia;60;112;118;63;55;41;65;55;25;54;50;53;751
Ecuador;15;10;6;6;8;5;10;13;6;2;6;4;91
Guyana;1;1;;6;2;1;12;13;4;1;;2;43
Paraguay;3;1;1;;;;;;5;;2;1;13
Perú;12;12;20;21;13;6;28;10;12;11;58;27;230
Surinam;;;;;;;;;1;;;;1
Uruguay;3;7;7;6;3;5;7;4;4;2;15;4;67
Venezuela;15;12;36;32;48;23;25;21;4;11;22;33;282
CARIBE;27;52;41;54;55;32;54;89;47;32;40;47;570
Bahamas;1;3;6;1;3;1;3;5;;;;1;24
Bermuda;3;14;6;4;5;;4;6;2;1;9;1;55
Cuba;4;3;6;5;2;;6;6;4;3;9;6;54
Haití;4;;1;2;5;2;4;4;1;1;1;1;26
Jamaica;3;7;1;6;8;7;15;18;4;5;6;8;88
Puerto Rico1;;;;;;4;;;;;;;4
RepúblicaDominicana;3;13;15;23;15;9;15;21;20;17;9;16;176
Trinidad y Tobago;4;5;5;9;11;9;4;25;5;3;3;7;90
Otros;5;7;1;4;6;;3;4;11;2;3;7;53
EUROPA;1992;2025;2031;1806;769;459;1218;1048;458;729;2907;4975;20417
Alemania;154;188;253;149;91;38;111;83;41;53;155;389;1705
Austria;27;33;35;16;7;5;28;13;16;7;8;46;241
Bélgica;49;65;54;108;30;14;45;31;16;30;45;112;599
Dinamarca;38;18;26;14;10;8;20;6;7;10;26;47;230
Eslovaquia;17;10;3;52;3;7;2;4;;3;10;19;130
España;76;66;93;95;54;30;94;75;45;126;92;158;1004
Finlandia;6;4;21;11;6;1;1;8;1;3;16;80;158
Francia;196;395;310;258;74;55;188;133;36;77;146;374;2242
Hungría;12;11;11;4;1;4;2;6;2;6;15;18;92
Irlanda;30;34;33;39;24;11;24;16;4;8;36;55;314
Israel;42;40;34;32;14;13;20;42;13;22;34;147;453
Italia;340;253;226;151;54;53;146;160;51;70;187;569;2260
Noruega;31;45;36;18;19;7;16;11;11;14;24;69;301
Países Bajos;63;74;84;66;35;17;61;19;11;24;85;197;736
Polonia;33;27;29;30;26;;15;19;8;17;66;76;346
Portugal;15;11;8;19;13;;17;11;11;15;16;17;153
Reino Unido;349;456;475;439;189;131;300;279;101;139;1652;1764;6274
Republica Checa;35;34;22;51;5;4;7;6;13;2;9;34;222
Rumanía;9;11;10;10;4;1;3;8;2;2;16;20;96
Rusia;105;36;56;43;19;8;19;22;19;12;41;120;500
Suecia;163;80;44;62;13;11;19;14;16;19;69;295;805
Suiza;79;61;64;69;32;16;41;36;17;37;58;195;705
Otros;123;73;104;70;46;25;39;46;17;33;101;174;851
ASIA;122;108;251;259;181;116;178;138;70;50;212;555;2240
China;18;17;43;65;32;12;29;15;5;7;25;104;372
Filipinas;9;5;13;11;15;19;13;12;7;5;12;17;138
India;29;34;91;75;56;42;65;59;19;13;99;264;846
Japón;35;17;36;47;32;13;23;19;15;10;27;66;340
Rep. de Corea (Sur);17;16;26;25;19;11;20;12;6;4;21;38;215
Rep. Dem. Pop. Corea (Norte);;;;;;;;;;;;;
Taiwan;3;5;5;4;5;2;;1;4;;7;11;47
Otros;11;14;37;32;22;17;28;20;14;11;21;55;282
ÁFRICA;29;43;51;40;36;10;50;86;17;15;33;57;467
Arabia Saudita;3;4;9;5;4;1;3;2;;;;1;32
Líbano;8;6;2;8;3;;1;3;2;1;3;3;40
Marruecos;3;1;1;;;;14;2;1;;1;5;28
Nigeria;;4;4;;1;;3;45;3;1;2;2;65
Sudáfrica;6;15;15;5;14;6;17;15;4;8;20;28;153
Otros;9;13;20;22;14;3;12;19;7;5;7;18;149
OCEANÍA;103;82;103;107;84;51;75;88;62;55;136;218;1164
Australia;87;69;88;79;70;38;64;79;54;38;115;184;965
Nueva Zelanda;15;13;15;27;14;6;11;9;8;17;21;34;190
Otros;1;;;1;;7;;;;;;;9
