País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;TOTAL
TOTAL;69709;68851;79612;53689;38257;46057;48724;36456;18672;22290;46959;70157;599433
AMÉRICA DEL NORTE;65651;64718;75781;49426;34856;43450;45050;33283;16237;19793;43014;63814;555073
Canadá;20192;19040;16313;9965;3184;2280;3928;3235;2119;3587;10521;17384;111748
Estados Unidos;45080;45387;59159;39183;31519;40668;40922;29906;14025;16129;32328;46298;440604
México;379;291;309;278;153;502;200;142;93;77;165;132;2721
AMÉRICA CENTRAL;119;64;74;123;107;92;96;85;105;101;79;154;1199
Belice;2;1;1;1;1;;2;;;;;1;9
El Salvador;15;8;8;29;18;19;22;27;31;21;15;11;224
Guatemala;10;7;16;35;25;14;14;3;19;27;12;13;195
Honduras;4;4;5;1;13;4;9;4;1;3;3;2;53
Nicaragua;39;18;28;29;33;25;29;32;35;29;24;102;423
Panamá;49;26;16;28;17;30;20;19;19;21;25;25;295
AMÉRICA DEL SUR;283;274;265;279;361;242;389;227;346;270;229;380;3545
Argentina;71;79;50;54;40;43;46;35;55;46;31;58;608
Bolivia;1;;;2;1;7;3;1;3;2;1;4;25
Brasil;92;67;68;95;122;52;171;71;56;45;75;166;1080
Chile;39;52;37;28;64;41;78;15;71;92;21;55;593
Colombia;35;27;57;57;51;45;35;34;36;35;45;49;506
Ecuador;5;11;2;4;13;4;7;8;10;7;11;3;85
Guyana;3;3;1;3;6;4;2;5;2;2;;2;33
Paraguay;4;5;2;3;2;;;1;1;2;7;;27
Perú;11;12;25;11;29;17;17;26;16;14;9;18;205
Surinam;;;;1;;2;;;1;2;1;;7
Uruguay;5;6;8;4;5;12;13;10;13;8;3;9;96
Venezuela;17;12;15;17;28;15;17;21;82;15;25;16;280
CARIBE;64;53;37;53;69;63;51;82;57;48;50;30;657
Bahamas;5;9;2;4;3;2;3;2;3;2;2;3;40
Bermuda;2;;5;1;7;3;2;2;;2;2;3;29
Cuba;9;8;3;3;4;12;7;7;2;5;4;2;66
Haití;1;;4;2;7;2;10;9;4;1;8;1;49
Jamaica;11;10;8;4;8;6;10;30;4;16;6;8;121
Puerto Rico1;;;;;;;;;;;;;
República Dominicana;17;10;10;20;26;19;10;12;26;16;7;4;177
Trinidad y Tobago;11;9;1;13;8;7;8;14;11;5;9;3;99
Otros Caribe;8;7;4;6;6;12;1;6;7;1;12;6;76
EUROPA;3214;3318;2875;3199;2312;1826;2739;2398;1765;1805;3156;4903;33510
Alemania;200;230;194;181;97;78;122;128;74;87;231;379;2001
Austria;30;55;16;40;11;11;21;13;12;10;44;41;304
Bélgica;49;77;66;96;26;23;31;30;19;30;82;114;643
Dinamarca;30;34;32;13;18;8;22;15;7;8;43;48;278
Eslovaquia;7;4;12;6;11;16;;9;8;6;7;13;99
España;64;66;80;72;56;39;65;73;50;50;79;120;814
Finlandia;17;22;9;2;7;11;7;7;2;3;20;36;143
Francia;376;502;286;254;408;60;179;205;44;83;239;369;3005
Hungría;20;12;3;4;19;6;2;6;3;2;13;24;114
Irlanda;53;35;57;57;29;40;43;34;21;17;45;56;487
Israel;49;60;22;73;34;30;41;38;14;24;40;101;526
Italia;234;147;99;115;47;60;65;90;28;70;143;331;1429
Noruega;18;42;18;37;18;14;30;8;12;7;19;40;263
Países Bajos;107;110;81;61;46;34;86;61;33;70;179;276;1144
Polonia;64;44;62;42;49;24;29;27;24;47;68;154;634
Portugal;30;29;32;22;14;16;13;25;15;8;22;27;253
Reino Unido;1522;1540;1534;1860;1249;1235;1787;1492;1314;1157;1590;2140;18420
Republica Checa;24;15;18;26;8;6;11;5;9;10;17;44;193
Rumanía;9;15;12;11;10;6;6;3;3;17;17;42;151
Rusia;55;34;30;38;22;14;27;38;11;14;42;71;396
Suecia;86;67;48;45;32;18;15;15;14;10;62;203;615
Suiza;53;65;56;59;19;26;57;25;7;19;50;93;529
Otros Europa;117;113;108;85;82;51;80;51;41;56;104;181;1069
ASIA Y EL PACÍFICO;339;388;519;550;504;347;359;334;141;244;389;781;4895
China;51;60;99;90;48;29;39;37;28;56;61;216;814
Filipinas;15;19;15;22;27;23;17;19;7;18;22;21;225
India;43;68;132;171;77;54;84;91;22;47;103;213;1105
Japón;36;44;36;44;50;38;29;21;10;21;26;61;416
Rep. de Corea (Sur);30;31;23;20;26;33;13;15;7;11;11;33;253
Rep. Dem. Pop. Corea (Norte);;;;;;;;;;;;;
Taiwan;12;5;3;8;12;2;13;4;2;7;4;2;74
Australia;105;99;127;119;144;101;88;88;35;45;102;139;1192
Nueva Zelanda;29;28;35;31;36;37;31;37;15;20;29;31;359
Otros Asia y El Pacífico;18;34;49;45;84;30;45;22;15;19;31;65;457
ÁFRICA;28;19;32;51;37;30;18;37;13;25;26;70;386
Marruecos;;3;2;2;;;1;1;;1;2;7;19
Nigeria;2;3;2;4;;3;3;6;2;1;5;4;35
Sudáfrica;15;6;16;33;16;13;14;15;6;13;11;27;185
Otros África;11;7;12;12;21;14;;15;5;10;8;32;147
ORIENTE MEDIO;11;17;29;8;11;7;22;10;8;4;16;25;168
Arabia Saudita;3;5;12;;3;3;4;3;5;;2;1;41
Egipto;5;3;3;2;1;3;4;2;1;1;9;6;40
Emiratos Árabes Unidos;;2;;;1;;1;;;;1;4;9
Jordania;2;1;1;2;6;;1;1;;;;6;20
Líbano;1;4;3;3;;1;3;2;1;2;3;5;28
Otros Oriente Medio;;2;10;1;;;9;2;1;1;1;3;30
